case_id,source_year,stock_code_raw,stock_code_wind,dataset_split,official_match_status,official_match_method,official_listed_date,institution_id,security_id,selected_name,has_ipo_information,has_institution_info,has_delisted_info,official_ipo_price,official_offer_price,official_delisted_date,official_listing_board_id,official_list_method,official_industry_name,official_funds_raised,official_net_proceed,eod_available,first_eod_trade_date,listed_date_eod_relation,source_workbook,source_workbook_sha256,notes
ipo_2020_01379,2020,01379,1379.HK,development,matched,symbol+source_year+ipo,2020-12-30,10462458,201004186804,温岭工量刃具,true,true,false,6.25,6.2500,,P3401,全球發售,地产投资,"125,000,000","61,800,000",true,20201230,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01408,2020,01408,1408.HK,development,matched,symbol+source_year+ipo,2020-09-11,10497371,201004190926,濠江机电,true,true,false,1,1.0000,,P3401,全球發售,楼宇建造,"103,100,000","51,600,000",true,20200911,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01429,2020,01429,1429.HK,development,matched,symbol+source_year+ipo,2020-09-29,10499571,201004191226,天任集团控股,true,true,false,0.35,0.3500,,P3401,股份發售,楼宇建造,"140,000,000","83,200,000",true,20200929,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01433,2020,01433,1433.HK,development,matched,symbol+source_year+ipo,2020-03-12,10484324,201004188224,常达控股,true,true,false,0.25,0.2500,,P3401,全球發售,印刷及包装,"125,000,000","74,900,000",true,20200312,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01440,2020,01440,1440.HK,development,matched,symbol+next_year+ipo,2021-01-13,10521646,201004192787,Deyun Holding,true,true,false,0.4,0.4000,,P3401,股份發售,鞋类,"126,000,000","85,600,000",true,20210113,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01449,2020,01449,1449.HK,development,matched,symbol+source_year+ipo,2020-08-06,10496225,201004190267,立德教育,true,true,false,2.1,2.1000,,P3401,全球發售,教育,"368,900,700","336,700,000",true,20200806,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01455,2020,01455,1455.HK,development,matched,symbol+source_year+ipo,2020-09-15,10497373,201004190928,科利实业控股,true,true,false,0.4,0.4000,,P3401,全球發售,家庭电器,"125,000,000","66,700,000",true,20200915,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01463,2020,01463,1463.HK,development,matched,symbol+source_year+ipo,2020-03-27,10486081,201004188385,C-Link Squared,true,true,false,0.63,0.6300,,P3401,股份發售,其他支援服务,"126,000,000","75,800,000",true,20200327,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01472,2020,01472,1472.HK,development,matched,symbol+source_year+ipo,2020-03-17,10484328,201004188228,生兴控股,true,true,false,0.5,0.5000,,P3401,股份發售,重型基建,"125,000,000","81,900,000",true,20200317,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01477,2020,01477,1477.HK,development,matched,symbol+source_year+ipo,2020-07-10,10491942,201004189803,欧康维视生物─B,true,true,false,14.66,14.6600,,P3401,全球發售,生物技术,"1,785,874,000","1,646,410,000",true,20200710,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
