run_id,category,status,primary_summary,selected_mode,case_count,m1_numerator,m1_denominator,m1,m2_numerator,m2_denominator,m2,real_llm_case_count,structured_scope_valid_count,call_count,fallback_count,transport_failure_count,response_validation_failure_count,validation_opened,blind_2025_outcome_accessed,summary_artifact_count
ablation/batch045_cash_period_narrative_bundle_probe,ablation,complete,ablation_summary.json,offline,5,0,11,0.0,2,16,0.125,0,0,0,0,0,0,False,False,5
ablation/batch046_all79_cash_period_narrative_bundle,ablation,complete,ablation_summary.json,offline,79,25,102,0.24509803921568626,49,191,0.25654450261780104,0,0,0,0,0,0,False,False,5
ablation/batch047_concentration_localized_period_probe,ablation,complete,ablation_summary.json,offline,2,2,3,0.6666666666666666,3,6,0.5,0,0,0,0,0,0,False,False,5
ablation/batch048_all79_localized_concentration_periods,ablation,complete,ablation_summary.json,offline,79,26,102,0.2549019607843137,46,191,0.24083769633507854,0,0,0,0,0,0,False,False,5
ablation/batch049_concentration_partial_revert_probe,ablation,complete,ablation_summary.json,offline,3,3,6,0.5,8,14,0.5714285714285714,0,0,0,0,0,0,False,False,5
ablation/batch050_all79_spaced_period_months,ablation,complete,ablation_summary.json,offline,79,26,102,0.2549019607843137,49,191,0.25654450261780104,0,0,0,0,0,0,False,False,5
ablation/batch051_localized_series_guard_probe,ablation,complete,ablation_summary.json,offline,3,4,6,0.6666666666666666,8,14,0.5714285714285714,0,0,0,0,0,0,False,False,5
ablation/batch052_all79_localized_series_guard,ablation,complete,ablation_summary.json,offline,79,27,102,0.2647058823529412,49,191,0.25654450261780104,0,0,0,0,0,0,False,False,5
ablation/batch053_threshold_exclusion_probe,ablation,complete,ablation_summary.json,offline,4,3,6,0.5,7,14,0.5,0,0,0,0,0,0,False,False,5
ablation/batch054_all79_threshold_exclusion,ablation,complete,ablation_summary.json,offline,79,25,102,0.24509803921568626,47,191,0.24607329842931938,0,0,0,0,0,0,False,False,5
ablation/batch055_ultimate_supplier_ipo_2020_00368,ablation,complete,ablation_summary.json,offline,1,2,3,0.6666666666666666,5,8,0.625,0,0,0,0,0,0,False,False,5
ablation/batch055_ultimate_supplier_ipo_2020_06618,ablation,complete,ablation_summary.json,offline,1,0,1,0.0,0,3,0.0,0,0,0,0,0,0,False,False,5
ablation/batch055_ultimate_supplier_ipo_2020_08489,ablation,complete,ablation_summary.json,offline,1,1,2,0.5,2,4,0.5,0,0,0,0,0,0,False,False,5
ablation/batch055_ultimate_supplier_ipo_2023_02268,ablation,complete,ablation_summary.json,offline,1,1,1,1.0,1,1,1.0,0,0,0,0,0,0,False,False,5
ablation/batch056_all79_ultimate_supplier,ablation,complete,ablation_summary.json,offline,79,28,102,0.27450980392156865,50,191,0.2617801047120419,0,0,0,0,0,0,False,False,5
ablation/batch057_governed_provenance_ipo_2020_01408,ablation,complete,ablation_summary.json,offline,1,1,2,0.5,5,9,0.5555555555555556,0,0,0,0,0,0,False,False,5
ablation/batch057_governed_provenance_ipo_2020_08489,ablation,complete,ablation_summary.json,offline,1,1,2,0.5,2,4,0.5,0,0,0,0,0,0,False,False,5
ablation/batch057_governed_provenance_ipo_2021_00606,ablation,complete,ablation_summary.json,offline,1,0,2,0.0,0,4,0.0,0,0,0,0,0,0,False,False,5
