case_id,gold,rrf_r20,ltr_r20,delta
ipo_2022_01204,11,0.9090909090909091,0.9090909090909091,0.0
ipo_2022_01406,10,0.8,0.8,0.0
ipo_2022_02179,9,0.6666666666666666,0.6666666666666666,0.0
ipo_2022_02372,9,0.8888888888888888,1.0,0.11111111111111116
ipo_2022_02407,9,0.7777777777777778,0.8888888888888888,0.11111111111111105
ipo_2022_06698,9,0.7777777777777778,0.8888888888888888,0.11111111111111105
ipo_2022_06922,9,0.8888888888888888,1.0,0.11111111111111116
ipo_2022_09638,9,0.6666666666666666,0.8888888888888888,0.2222222222222222
ipo_2022_09886,9,0.7777777777777778,0.8888888888888888,0.11111111111111105
ipo_2022_09985,9,0.8888888888888888,1.0,0.11111111111111116
